Case,C,E,P,Flight_Mod,P_final,SOP,NHP,Posterior_NH,Posterior_Mean,CI_2.5%,CI_97.5%
USS Nimitz - 2004,0.9,0.84,0.9,0.05,0.95,0.88,0.9,0.45,0.439,0.377,0.5
Falcon Lake - 1967,0.63,0.72,0.55,0.02,0.57,0.63,0.64,0.25,0.246,0.201,0.295
Belgian UFO Wave - 1989,0.9,0.52,0.88,0.05,0.93,0.78,0.8,0.36,0.352,0.294,0.411
Kelly-Hopkinsville - 1955,0.6,0.55,0.4,0.04,0.44,0.53,0.54,0.19,0.187,0.15,0.226
Tehran UFO - 1976,0.9,0.82,0.97,0.05,0.95,0.9,0.89,0.43,0.434,0.372,0.496
Phoenix Lights 1st even - 1997,0.87,0.9,0.4,0.04,0.44,0.74,0.75,0.32,0.313,0.26,0.368
USS Theodore Roosevelt - 2014,0.9,0.87,0.78,0.05,0.83,0.85,0.87,0.42,0.414,0.352,0.478
Shag Harbour - 1967,0.83,0.75,0.55,0.04,0.59,0.72,0.73,0.31,0.304,0.253,0.358
Rendlesham Forest - 1980,0.87,0.8,0.55,0.05,0.6,0.75,0.77,0.34,0.327,0.271,0.384
Socorro UFO Incident - 1964,0.65,0.82,0.79,0.04,0.83,0.74,0.76,0.33,0.322,0.269,0.378
USS Omaha - 2019,0.9,0.84,0.88,0.05,0.93,0.88,0.89,0.43,0.435,0.371,0.498
Lakenheath-Bentwaters - 1956,0.85,0.81,0.8,0.05,0.85,0.82,0.84,0.4,0.386,0.325,0.448
Coyne Helicopter Encounter - 1973,0.83,0.7,0.55,0.04,0.59,0.71,0.72,0.3,0.294,0.243,0.347
Stephenville UFO - 2008,0.7,0.8,0.8,0.05,0.85,0.76,0.78,0.35,0.336,0.28,0.391
Japan Airlines 1628 - 1986,0.8,0.8,0.6,0.05,0.65,0.74,0.76,0.33,0.318,0.265,0.373
Chicago O'Hare Airport - 2006,0.87,0.77,0.6,0.05,0.65,0.76,0.77,0.34,0.332,0.277,0.39
"Washington DC Flap - Wave 1 (July 19-20, 1952)",0.77,0.6,0.55,0.05,0.6,0.65,0.67,0.27,0.26,0.213,0.309
Morristown NJ UFO - 2009,0.62,0.85,0.55,0.02,0.57,0.67,0.67,0.27,0.267,0.219,0.316
Kaikoura Lights - 1978,0.8,0.8,0.55,0.04,0.59,0.73,0.74,0.31,0.306,0.254,0.36
Travis Walton UFO - 1975,0.67,0.8,0.4,0.05,0.45,0.63,0.64,0.25,0.243,0.198,0.291
Virginia Capes Cube-in-Sphere - 2014,0.85,0.78,0.75,0.04,0.79,0.8,0.81,0.37,0.364,0.305,0.424
Yemen MQ-9 Orb - 2024,0.85,0.87,0.95,0.05,0.95,0.89,0.89,0.43,0.43,0.368,0.494
Westall UFO Incident - 1966,0.7,0.83,0.42,0.05,0.47,0.65,0.67,0.27,0.26,0.213,0.309
Exeter UFO Incident - 1965,0.77,0.73,0.42,0.05,0.47,0.65,0.67,0.27,0.258,0.211,0.308
Levelland UFO Incident - 1957,0.82,0.75,0.45,0.05,0.5,0.69,0.7,0.28,0.281,0.231,0.334
Voronezh UFO Sighting - 1989,0.67,0.73,0.54,0.04,0.58,0.65,0.66,0.26,0.257,0.21,0.307
Northern Italy Air Force - 1981,0.8,0.73,0.55,0.05,0.6,0.7,0.72,0.3,0.293,0.24,0.345
Nuremberg Bavaria Radar UFO Case - 1980,0.78,0.71,0.65,0.04,0.69,0.72,0.73,0.31,0.304,0.251,0.359
Kenneth Arnold - 1947,0.62,0.72,0.4,0.05,0.45,0.58,0.6,0.22,0.218,0.177,0.264
Cash-Landrum UFO - 1980,0.63,0.7,0.55,0.02,0.57,0.63,0.63,0.24,0.242,0.198,0.29
Aguadilla UFO - 2013 (SCU),0.9,0.78,0.88,0.04,0.92,0.86,0.87,0.42,0.416,0.352,0.478
USS Theodore Roosevelt Gimbal - 2015,0.83,0.78,0.9,0.04,0.94,0.84,0.85,0.4,0.395,0.335,0.457
USS Theodore Roosevelt GoFast - 2015,0.84,0.83,0.9,0.04,0.94,0.85,0.87,0.42,0.412,0.352,0.473
Alderney UFO Sighting - 2007,0.81,0.72,0.6,0.02,0.62,0.72,0.73,0.31,0.302,0.249,0.357
Manises UFO Incident - 1979,0.88,0.85,0.8,0.05,0.85,0.85,0.86,0.41,0.407,0.347,0.47
RB-47 UFO - 1957,0.85,0.77,0.83,0.05,0.88,0.82,0.83,0.39,0.384,0.323,0.445
Minot AFB UFO - 1968,0.84,0.72,0.93,0.05,0.95,0.83,0.84,0.39,0.386,0.328,0.446
Lubbock Lights - 1951,0.8,0.62,0.55,0.0,0.55,0.67,0.67,0.27,0.268,0.221,0.319
Arequipa La Joya Peru - 1980,0.63,0.7,0.55,0.04,0.59,0.63,0.64,0.25,0.243,0.199,0.291
AARO PR-017 Europe - 2024,0.7,0.85,0.55,0.0,0.55,0.7,0.7,0.28,0.287,0.236,0.338
Trans-en-Provence UAP - 1981,0.4,0.82,0.55,0.05,0.6,0.57,0.59,0.22,0.213,0.172,0.257
"Washington DC Flap - Wave 2 (July 26-27, 1952)",0.9,0.67,0.78,0.05,0.83,0.8,0.81,0.37,0.363,0.305,0.422
Calvine UFO Incident - 1990,0.65,0.67,0.55,0.0,0.55,0.63,0.63,0.24,0.241,0.197,0.288
Kinross Incident - 1953,0.82,0.7,0.82,0.05,0.87,0.78,0.8,0.36,0.354,0.298,0.415
West Freugh Incident - 1957,0.8,0.82,0.85,0.05,0.9,0.82,0.84,0.4,0.385,0.324,0.449
Ellsworth AFB - 1953,0.88,0.62,0.83,0.05,0.88,0.79,0.8,0.36,0.357,0.3,0.418
Kandahar Jellyfish UAP - 2017,0.6,0.51,0.55,0.0,0.55,0.56,0.56,0.2,0.203,0.164,0.246
Tucson Rubber Duck UAP - 2019,0.78,0.52,0.58,0.05,0.63,0.64,0.66,0.26,0.253,0.208,0.303
Campeche UAP Incident - 2004,0.75,0.67,0.6,0.04,0.64,0.68,0.69,0.28,0.277,0.228,0.33
Ariel School UFO - 1994,0.7,0.85,0.4,0.05,0.45,0.65,0.67,0.27,0.259,0.212,0.31
